label,case,pair,cosine_similarity
voyage-code-3@1024,high/exact-copy,01,1.0000001192092896
voyage-code-3@1024,high/exact-copy,02,1.0
voyage-code-3@1024,high/exact-copy,03,1.0
voyage-code-3@1024,high/exact-copy,04,1.0
voyage-code-3@1024,high/exact-copy,05,1.0
voyage-code-3@1024,high/exact-copy,06,1.0
voyage-code-3@1024,high/exact-copy,07,1.0000001192092896
voyage-code-3@1024,high/exact-copy,08,1.0000001192092896
voyage-code-3@1024,high/exact-copy,09,1.0
voyage-code-3@1024,high/exact-copy,10,1.0
voyage-code-3@1024,high/formatting,01,0.9858725666999817
voyage-code-3@1024,high/formatting,02,0.9852253198623657
voyage-code-3@1024,high/formatting,03,0.9681240916252136
voyage-code-3@1024,high/formatting,04,0.9754591584205627
voyage-code-3@1024,high/formatting,05,0.9904417395591736
voyage-code-3@1024,high/formatting,06,0.9945160746574402
voyage-code-3@1024,high/formatting,07,0.9950399994850159
voyage-code-3@1024,high/formatting,08,0.9864749908447266
voyage-code-3@1024,high/formatting,09,0.9849652647972107
voyage-code-3@1024,high/formatting,10,0.9864510893821716
voyage-code-3@1024,high/lang-similar-syntax,01,0.9536849856376648
voyage-code-3@1024,high/lang-similar-syntax,02,0.9750902056694031
voyage-code-3@1024,high/lang-similar-syntax,03,0.9102703332901001
voyage-code-3@1024,high/lang-similar-syntax,04,0.9106937646865845
voyage-code-3@1024,high/lang-similar-syntax,05,0.9569137692451477
voyage-code-3@1024,high/lang-similar-syntax,06,0.9412227869033813
voyage-code-3@1024,high/lang-similar-syntax,07,0.9182947874069214
voyage-code-3@1024,high/lang-similar-syntax,08,0.9279115796089172
voyage-code-3@1024,high/lang-similar-syntax,09,0.9148314595222473
voyage-code-3@1024,high/lang-similar-syntax,10,0.8821896314620972
voyage-code-3@1024,high/lang-different-syntax,01,0.8637624382972717
voyage-code-3@1024,high/lang-different-syntax,02,0.8700106739997864
voyage-code-3@1024,high/lang-different-syntax,03,0.9313448667526245
voyage-code-3@1024,high/lang-different-syntax,04,0.9218819737434387
voyage-code-3@1024,high/lang-different-syntax,05,0.8833946585655212
voyage-code-3@1024,high/lang-different-syntax,06,0.9293045401573181
voyage-code-3@1024,high/lang-different-syntax,07,0.9235004186630249
voyage-code-3@1024,high/lang-different-syntax,08,0.8502990007400513
voyage-code-3@1024,high/lang-different-syntax,09,0.9430387020111084
voyage-code-3@1024,high/lang-different-syntax,10,0.9496996998786926
voyage-code-3@1024,high/renamed-identifiers,01,0.8962412476539612
voyage-code-3@1024,high/renamed-identifiers,02,0.8879802227020264
voyage-code-3@1024,high/renamed-identifiers,03,0.9537507891654968
voyage-code-3@1024,high/renamed-identifiers,04,0.877209484577179
voyage-code-3@1024,high/renamed-identifiers,05,0.9337118864059448
voyage-code-3@1024,high/renamed-identifiers,06,0.8925437331199646
voyage-code-3@1024,high/renamed-identifiers,07,0.7934026718139648
voyage-code-3@1024,high/renamed-identifiers,08,0.863471508026123
voyage-code-3@1024,high/renamed-identifiers,09,0.925889253616333
voyage-code-3@1024,high/renamed-identifiers,10,0.9631983637809753
voyage-code-3@1024,high/different-literals,01,0.953727126121521
voyage-code-3@1024,high/different-literals,02,0.8991257548332214
voyage-code-3@1024,high/different-literals,03,0.9337766170501709
voyage-code-3@1024,high/different-literals,04,0.9324176907539368
voyage-code-3@1024,high/different-literals,05,0.9580698013305664
voyage-code-3@1024,high/different-literals,06,0.9523292779922485
voyage-code-3@1024,high/different-literals,07,0.9658216238021851
voyage-code-3@1024,high/different-literals,08,0.9739499092102051
voyage-code-3@1024,high/different-literals,09,0.9564681053161621
voyage-code-3@1024,high/different-literals,10,0.8356025218963623
voyage-code-3@1024,high/reordered-statements,01,0.995108962059021
voyage-code-3@1024,high/reordered-statements,02,0.9905436038970947
voyage-code-3@1024,high/reordered-statements,03,0.9957334995269775
voyage-code-3@1024,high/reordered-statements,04,0.9947318434715271
voyage-code-3@1024,high/reordered-statements,05,0.9958716034889221
voyage-code-3@1024,high/reordered-statements,06,0.9974222779273987
voyage-code-3@1024,high/reordered-statements,07,0.99402916431427
voyage-code-3@1024,high/reordered-statements,08,0.9919794201850891
voyage-code-3@1024,high/reordered-statements,09,0.9987092614173889
voyage-code-3@1024,high/reordered-statements,10,0.9908668398857117
voyage-code-3@1024,high/refactored-structure,01,0.9904385805130005
voyage-code-3@1024,high/refactored-structure,02,0.9877294898033142
voyage-code-3@1024,high/refactored-structure,03,0.9853643178939819
voyage-code-3@1024,high/refactored-structure,04,0.9961866736412048
voyage-code-3@1024,high/refactored-structure,05,0.9915510416030884
voyage-code-3@1024,high/refactored-structure,06,0.9962533712387085
voyage-code-3@1024,high/refactored-structure,07,0.9832232594490051
voyage-code-3@1024,high/refactored-structure,08,0.9920595288276672
voyage-code-3@1024,high/refactored-structure,09,0.99105304479599
voyage-code-3@1024,high/refactored-structure,10,0.9887188076972961
voyage-code-3@1024,high/small-addition,01,0.9930210113525391
voyage-code-3@1024,high/small-addition,02,0.995842456817627
voyage-code-3@1024,high/small-addition,03,0.9955089688301086
voyage-code-3@1024,high/small-addition,04,0.9874311685562134
voyage-code-3@1024,high/small-addition,05,0.9582156538963318
voyage-code-3@1024,high/small-addition,06,0.9839205145835876
voyage-code-3@1024,high/small-addition,07,0.9974893927574158
voyage-code-3@1024,high/small-addition,08,0.9978464841842651
voyage-code-3@1024,high/small-addition,09,0.9896346926689148
voyage-code-3@1024,high/small-addition,10,0.987415075302124
voyage-code-3@1024,high/small-additions-large,01,0.9937642812728882
voyage-code-3@1024,high/small-additions-large,02,0.9971150159835815
voyage-code-3@1024,high/small-additions-large,03,0.9967043399810791
voyage-code-3@1024,high/small-additions-large,04,0.9906536340713501
voyage-code-3@1024,high/small-additions-large,05,0.9978036880493164
voyage-code-3@1024,high/small-additions-large,06,0.9887160658836365
voyage-code-3@1024,high/small-additions-large,07,0.9960129261016846
voyage-code-3@1024,high/small-additions-large,08,0.995603621006012
voyage-code-3@1024,high/small-additions-large,09,0.997875988483429
voyage-code-3@1024,high/small-additions-large,10,0.9930459260940552
voyage-code-3@1024,high/different-algorithm,01,0.8388252854347229
voyage-code-3@1024,high/different-algorithm,02,0.85904860496521
voyage-code-3@1024,high/different-algorithm,03,0.8569364547729492
voyage-code-3@1024,high/different-algorithm,04,0.8572368621826172
voyage-code-3@1024,high/different-algorithm,05,0.8887180089950562
voyage-code-3@1024,high/different-algorithm,06,0.8993803858757019
voyage-code-3@1024,high/different-algorithm,07,0.8842846155166626
voyage-code-3@1024,high/different-algorithm,08,0.9066232442855835
voyage-code-3@1024,high/different-algorithm,09,0.9036144614219666
voyage-code-3@1024,high/different-algorithm,10,0.8842490911483765
voyage-code-3@1024,high/transpiled,01,0.972723662853241
voyage-code-3@1024,high/transpiled,02,0.972701370716095
voyage-code-3@1024,high/transpiled,03,0.9232601523399353
voyage-code-3@1024,high/transpiled,04,0.9755018949508667
voyage-code-3@1024,high/transpiled,05,0.9811772704124451
voyage-code-3@1024,high/transpiled,06,0.9599997997283936
voyage-code-3@1024,high/transpiled,07,0.9658322334289551
voyage-code-3@1024,high/transpiled,08,0.9490627646446228
voyage-code-3@1024,high/transpiled,09,0.9619589447975159
voyage-code-3@1024,high/transpiled,10,0.9632814526557922
voyage-code-3@1024,high/code-and-text,01,0.7632988095283508
voyage-code-3@1024,high/code-and-text,02,0.7261671423912048
voyage-code-3@1024,high/code-and-text,03,0.7237175703048706
voyage-code-3@1024,high/code-and-text,04,0.7482514977455139
voyage-code-3@1024,high/code-and-text,05,0.6538577079772949
voyage-code-3@1024,high/code-and-text,06,0.7235866785049438
voyage-code-3@1024,high/code-and-text,07,0.7069786787033081
voyage-code-3@1024,high/code-and-text,08,0.77298903465271
voyage-code-3@1024,high/code-and-text,09,0.694337010383606
voyage-code-3@1024,high/code-and-text,10,0.7003348469734192
voyage-code-3@1024,low/unrelated,01,0.4653956890106201
voyage-code-3@1024,low/unrelated,02,0.46884244680404663
voyage-code-3@1024,low/unrelated,03,0.507423460483551
voyage-code-3@1024,low/unrelated,04,0.4949834644794464
voyage-code-3@1024,low/unrelated,05,0.5724186897277832
voyage-code-3@1024,low/unrelated,06,0.5006596446037292
voyage-code-3@1024,low/unrelated,07,0.47604215145111084
voyage-code-3@1024,low/unrelated,08,0.43133068084716797
voyage-code-3@1024,low/unrelated,09,0.5176235437393188
voyage-code-3@1024,low/unrelated,10,0.5488137006759644
voyage-code-3@1024,low/same-identifiers,01,0.9062830209732056
voyage-code-3@1024,low/same-identifiers,02,0.8374910354614258
voyage-code-3@1024,low/same-identifiers,03,0.7724284529685974
voyage-code-3@1024,low/same-identifiers,04,0.8466894626617432
voyage-code-3@1024,low/same-identifiers,05,0.8835951685905457
voyage-code-3@1024,low/same-identifiers,06,0.873417854309082
voyage-code-3@1024,low/same-identifiers,07,0.8687624931335449
voyage-code-3@1024,low/same-identifiers,08,0.8140863180160522
voyage-code-3@1024,low/same-identifiers,09,0.9033349752426147
voyage-code-3@1024,low/same-identifiers,10,0.8825787901878357
voyage-code-3@1024,low/small-shared-fragment,01,0.5280398726463318
voyage-code-3@1024,low/small-shared-fragment,02,0.6222315430641174
voyage-code-3@1024,low/small-shared-fragment,03,0.6563473343849182
voyage-code-3@1024,low/small-shared-fragment,04,0.5765796899795532
voyage-code-3@1024,low/small-shared-fragment,05,0.6585250496864319
voyage-code-3@1024,low/small-shared-fragment,06,0.6531160473823547
voyage-code-3@1024,low/small-shared-fragment,07,0.510962963104248
voyage-code-3@1024,low/small-shared-fragment,08,0.6821248531341553
voyage-code-3@1024,low/small-shared-fragment,09,0.6531409025192261
voyage-code-3@1024,low/small-shared-fragment,10,0.5858777165412903
voyage-code-3@1024,low/small-shared-fragments-large,01,0.6805554628372192
voyage-code-3@1024,low/small-shared-fragments-large,02,0.5956010222434998
voyage-code-3@1024,low/small-shared-fragments-large,03,0.6501659750938416
voyage-code-3@1024,low/small-shared-fragments-large,04,0.6477898359298706
voyage-code-3@1024,low/small-shared-fragments-large,05,0.6727455854415894
voyage-code-3@1024,low/small-shared-fragments-large,06,0.6167700886726379
voyage-code-3@1024,low/small-shared-fragments-large,07,0.6200255155563354
voyage-code-3@1024,low/small-shared-fragments-large,08,0.6992017030715942
voyage-code-3@1024,low/small-shared-fragments-large,09,0.7082192301750183
voyage-code-3@1024,low/small-shared-fragments-large,10,0.649262547492981
voyage-code-3@1024,low/same-boilerplate,01,0.6485198736190796
voyage-code-3@1024,low/same-boilerplate,02,0.7283387780189514
voyage-code-3@1024,low/same-boilerplate,03,0.796643853187561
voyage-code-3@1024,low/same-boilerplate,04,0.6067686676979065
voyage-code-3@1024,low/same-boilerplate,05,0.6552960872650146
voyage-code-3@1024,low/same-boilerplate,06,0.6370856165885925
voyage-code-3@1024,low/same-boilerplate,07,0.6452018618583679
voyage-code-3@1024,low/same-boilerplate,08,0.7108500599861145
voyage-code-3@1024,low/same-boilerplate,09,0.6110796928405762
voyage-code-3@1024,low/same-boilerplate,10,0.6129947900772095
voyage-code-3@1024,low/code-and-text,01,0.4998321235179901
voyage-code-3@1024,low/code-and-text,02,0.3118286728858948
voyage-code-3@1024,low/code-and-text,03,0.45264962315559387
voyage-code-3@1024,low/code-and-text,04,0.43138670921325684
voyage-code-3@1024,low/code-and-text,05,0.38189706206321716
voyage-code-3@1024,low/code-and-text,06,0.4720773696899414
voyage-code-3@1024,low/code-and-text,07,0.4271489083766937
voyage-code-3@1024,low/code-and-text,08,0.4501573443412781
voyage-code-3@1024,low/code-and-text,09,0.34873881936073303
voyage-code-3@1024,low/code-and-text,10,0.28615447878837585
voyage-4-large@1024,high/exact-copy,01,1.0
voyage-4-large@1024,high/exact-copy,02,1.0000001192092896
voyage-4-large@1024,high/exact-copy,03,1.0
voyage-4-large@1024,high/exact-copy,04,1.0000001192092896
voyage-4-large@1024,high/exact-copy,05,1.0
voyage-4-large@1024,high/exact-copy,06,1.0000001192092896
voyage-4-large@1024,high/exact-copy,07,1.0000001192092896
voyage-4-large@1024,high/exact-copy,08,0.9999999403953552
voyage-4-large@1024,high/exact-copy,09,1.0
voyage-4-large@1024,high/exact-copy,10,1.0
voyage-4-large@1024,high/formatting,01,0.9763662815093994
voyage-4-large@1024,high/formatting,02,0.9554242491722107
voyage-4-large@1024,high/formatting,03,0.9149181246757507
voyage-4-large@1024,high/formatting,04,0.9063159823417664
voyage-4-large@1024,high/formatting,05,0.9428871870040894
voyage-4-large@1024,high/formatting,06,0.9792494773864746
voyage-4-large@1024,high/formatting,07,0.9881514310836792
voyage-4-large@1024,high/formatting,08,0.9484219551086426
voyage-4-large@1024,high/formatting,09,0.957150936126709
voyage-4-large@1024,high/formatting,10,0.9727649092674255
voyage-4-large@1024,high/lang-similar-syntax,01,0.905536949634552
voyage-4-large@1024,high/lang-similar-syntax,02,0.9757440686225891
voyage-4-large@1024,high/lang-similar-syntax,03,0.880126416683197
voyage-4-large@1024,high/lang-similar-syntax,04,0.839005708694458
voyage-4-large@1024,high/lang-similar-syntax,05,0.934873104095459
voyage-4-large@1024,high/lang-similar-syntax,06,0.8770601749420166
voyage-4-large@1024,high/lang-similar-syntax,07,0.9069474935531616
voyage-4-large@1024,high/lang-similar-syntax,08,0.8726488351821899
voyage-4-large@1024,high/lang-similar-syntax,09,0.8730940222740173
voyage-4-large@1024,high/lang-similar-syntax,10,0.8112367391586304
voyage-4-large@1024,high/lang-different-syntax,01,0.7504574656486511
voyage-4-large@1024,high/lang-different-syntax,02,0.8037135004997253
voyage-4-large@1024,high/lang-different-syntax,03,0.8896626830101013
voyage-4-large@1024,high/lang-different-syntax,04,0.8897820711135864
voyage-4-large@1024,high/lang-different-syntax,05,0.7545514702796936
voyage-4-large@1024,high/lang-different-syntax,06,0.8458835482597351
voyage-4-large@1024,high/lang-different-syntax,07,0.8947852849960327
voyage-4-large@1024,high/lang-different-syntax,08,0.7870506048202515
voyage-4-large@1024,high/lang-different-syntax,09,0.9293829202651978
voyage-4-large@1024,high/lang-different-syntax,10,0.9556851983070374
voyage-4-large@1024,high/renamed-identifiers,01,0.8875346779823303
voyage-4-large@1024,high/renamed-identifiers,02,0.8308433294296265
voyage-4-large@1024,high/renamed-identifiers,03,0.926003098487854
voyage-4-large@1024,high/renamed-identifiers,04,0.7982655167579651
voyage-4-large@1024,high/renamed-identifiers,05,0.8584021329879761
voyage-4-large@1024,high/renamed-identifiers,06,0.798640787601471
voyage-4-large@1024,high/renamed-identifiers,07,0.7608734965324402
voyage-4-large@1024,high/renamed-identifiers,08,0.7902162075042725
voyage-4-large@1024,high/renamed-identifiers,09,0.8288496136665344
voyage-4-large@1024,high/renamed-identifiers,10,0.8867591023445129
voyage-4-large@1024,high/different-literals,01,0.8944894075393677
voyage-4-large@1024,high/different-literals,02,0.8074698448181152
voyage-4-large@1024,high/different-literals,03,0.8628538250923157
voyage-4-large@1024,high/different-literals,04,0.9106486439704895
voyage-4-large@1024,high/different-literals,05,0.9092527627944946
voyage-4-large@1024,high/different-literals,06,0.8560702204704285
voyage-4-large@1024,high/different-literals,07,0.8561840653419495
voyage-4-large@1024,high/different-literals,08,0.9000028967857361
voyage-4-large@1024,high/different-literals,09,0.8721736669540405
voyage-4-large@1024,high/different-literals,10,0.7877294421195984
voyage-4-large@1024,high/reordered-statements,01,0.9947323799133301
voyage-4-large@1024,high/reordered-statements,02,0.9801241159439087
voyage-4-large@1024,high/reordered-statements,03,0.9917364120483398
voyage-4-large@1024,high/reordered-statements,04,0.9910683035850525
voyage-4-large@1024,high/reordered-statements,05,0.9851433634757996
voyage-4-large@1024,high/reordered-statements,06,0.9923835396766663
voyage-4-large@1024,high/reordered-statements,07,0.9834065437316895
